time,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
375.605000,-0.456385,0.524710,9.714177
375.640000,-0.592957,0.571434,9.555131
375.670000,-5.881649,3.388312,10.691996
375.705000,-0.626340,0.590836,9.240263
375.740000,-0.658306,0.602504,9.110082
375.770000,-0.688234,0.550668,9.107560
375.805000,-0.732131,0.463697,9.083198
375.835000,-0.775335,0.369853,9.081133
375.870000,-0.746669,0.399305,9.077308
375.905000,-2.329426,-1.808460,5.805208
375.935000,0.115401,0.284791,1.061084
375.970000,-0.748804,0.239447,9.007992
376.000000,1.385128,-1.139182,3.634404
376.035000,-0.606667,0.509505,8.938026
376.070000,7.214365,-4.010327,10.400458
376.100000,-0.623779,0.425406,9.320807
376.135000,-0.522272,0.423111,9.576794
376.165000,15.857440,-8.206146,21.470679
376.200000,-0.627227,0.454732,9.674151
376.235000,-0.615092,0.472659,9.677384
376.265000,-0.556429,0.569066,9.672438
376.300000,-0.620839,0.463412,9.661209
376.330000,-0.614756,0.473556,9.651520
376.365000,-0.603798,0.491765,9.638108
376.400000,15.442358,9.485845,30.067767
376.430000,0.644580,3.346565,8.666772
376.465000,0.865534,3.754927,9.616450
376.495000,0.794270,3.573334,9.156533
376.530000,0.818923,3.585723,9.029353
376.565000,-0.034052,3.702473,9.199703
376.595000,0.089294,4.149016,10.304587
376.630000,0.204064,3.594534,9.114264
376.660000,-0.147610,3.172269,8.718167
376.695000,-0.609403,0.446493,9.715373
376.730000,-0.634999,0.404565,9.722211
376.760000,-0.636423,0.403605,9.728553
376.795000,-0.620725,0.427829,9.734637
376.825000,-0.625444,0.420327,9.738677
376.860000,-0.622386,0.425364,9.742974
376.895000,-0.611935,0.442243,9.746872
376.925000,-0.614792,0.437673,9.749432
376.960000,-0.626056,0.418492,9.751853
376.990000,-0.618102,0.432207,9.754013
377.025000,-0.627840,0.415677,9.755795
377.060000,-0.617547,0.433224,9.757748
377.090000,-0.617298,0.433608,9.759013
377.125000,-0.620095,0.428842,9.760188
377.155000,-0.622010,0.425630,9.761045
377.190000,-0.621223,0.426951,9.761942
377.225000,-0.701803,0.295025,9.760513
377.255000,-0.684586,0.323320,9.761494
377.290000,-0.686249,0.320658,9.761802
377.320000,-0.680640,0.329856,9.762045
377.355000,-0.601043,0.459986,9.764175
377.390000,-0.591519,0.475576,9.764271
377.420000,-0.590105,0.477761,9.764101
377.455000,-0.591073,0.476329,9.763716
377.485000,-0.590815,0.476763,9.763341
377.520000,-0.589390,0.478999,9.762834
377.555000,-0.590066,0.478014,9.762128
377.585000,-0.589682,0.478654,9.761448
377.620000,-0.588286,0.480773,9.760564
377.650000,-0.577150,0.491452,9.760464
377.685000,-0.588138,0.480921,9.758376
377.720000,-0.586585,0.483413,9.756927
377.750000,-0.586818,0.483107,9.755440
377.785000,-0.585952,0.484539,9.753504
377.815000,-0.584385,0.487180,9.751599
377.850000,-0.584226,0.487403,9.749007
377.885000,-0.572358,0.499454,9.746843
377.915000,-0.581588,0.491687,9.743136
377.950000,-0.580958,0.492704,9.739209
377.980000,-0.149122,0.506178,10.045656
378.015000,-0.579073,0.495741,9.730148
378.050000,-1.260072,0.826957,2.866673
378.080000,-0.581787,0.490631,9.717516
378.115000,0.188300,3.658638,9.150719
378.145000,0.282012,3.630348,9.061127
378.180000,-0.073557,3.358713,8.665545
378.215000,8.886851,-6.301583,21.577835
378.245000,-0.591195,0.468855,9.738099
378.280000,-0.582825,0.482353,9.741339
378.310000,-0.583546,0.481225,9.743302
378.345000,-0.584232,0.480121,9.745033
378.380000,-0.584768,0.479265,9.746208
378.410000,-0.585112,0.478724,9.746791
378.445000,-0.585373,0.478324,9.746987
378.475000,-0.585475,0.478184,9.746741
378.510000,-0.585459,0.478245,9.745963
378.545000,-0.584846,0.478885,9.744679
378.575000,-0.597434,0.455863,9.742781
378.610000,-0.584557,0.479822,9.740607
378.640000,-0.584029,0.480729,9.737989
378.675000,0.645362,3.189263,8.473757
378.710000,-0.245810,0.468502,13.716762
378.740000,-0.596591,0.459033,9.742010
378.775000,-0.305246,0.934503,9.750393
378.805000,-0.305245,0.934507,9.750403
378.840000,-0.305633,0.934678,9.750329
378.875000,-0.305227,0.934481,9.750434
378.905000,-0.305228,0.934482,9.750442
378.940000,-0.311058,0.933681,9.749231
378.970000,-0.299496,0.935334,9.751650
379.005000,-0.310898,0.933621,9.749288
379.040000,-0.305217,0.934496,9.750468
379.070000,-0.299758,0.935436,9.751607
379.105000,-0.305217,0.934499,9.750480
379.135000,-0.310590,0.933513,9.749388
379.170000,-0.305241,0.934505,9.750489
379.205000,-0.305216,0.934499,9.750497
379.235000,-0.305241,0.934506,9.750499
379.270000,-0.305240,0.934506,9.750503
379.300000,-0.305241,0.934509,9.750507
379.335000,-0.305241,0.934509,9.750511
379.370000,-0.305240,0.934508,9.750515
379.400000,-0.305286,0.934593,9.750500
379.435000,-0.300416,0.935702,9.751490
379.465000,-0.305241,0.934512,9.750523
379.500000,-0.305219,0.934508,9.750528
379.535000,-0.305241,0.934512,9.750529
379.565000,-0.305244,0.934516,9.750530
379.600000,-0.305221,0.934510,9.750535
379.630000,-0.305234,0.934491,9.750541
379.665000,-0.305239,0.934490,9.750542
379.700000,-0.305236,0.934487,9.750545
379.730000,-0.305237,0.934485,9.750546
379.765000,-0.305240,0.934483,9.750547
379.795000,-0.305237,0.934480,9.750549
379.830000,-0.305237,0.934477,9.750551
379.865000,-0.305240,0.934475,9.750552
379.895000,-0.305238,0.934472,9.750553
379.930000,-0.305238,0.934470,9.750555
379.960000,-0.305238,0.934468,9.750556
379.995000,-0.305239,0.934465,9.750557
380.030000,-0.305239,0.934462,9.750558
380.060000,-0.305239,0.934460,9.750559
380.095000,-0.305239,0.934457,9.750560
380.125000,-0.305239,0.934455,9.750561
380.160000,-0.305239,0.934452,9.750562
380.195000,-0.305240,0.934449,9.750563
380.225000,-0.305240,0.934447,9.750563
380.260000,-0.305240,0.934444,9.750564
380.290000,1.656552,1.436027,16.705611
380.325000,-0.304896,0.934058,9.750009
380.360000,-0.304979,0.934091,9.750048
380.390000,-0.304988,0.934104,9.750081
380.425000,-0.304998,0.934117,9.750117
380.455000,-0.305009,0.934130,9.750147
380.490000,-0.305024,0.934145,9.750180
380.525000,-0.305031,0.934156,9.750208
380.555000,-0.305037,0.934165,9.750231
380.590000,-0.305043,0.934175,9.750256
380.620000,-0.305048,0.934183,9.750276
380.655000,-0.305054,0.934191,9.750298
380.690000,-0.305059,0.934199,9.750318
380.720000,-0.305063,0.934205,9.750334
380.755000,-0.305068,0.934212,9.750352
380.785000,-0.305071,0.934217,9.750366
380.820000,-0.305075,0.934222,9.750382
380.855000,-0.305079,0.934228,9.750396
380.885000,-0.305082,0.934232,9.750408
380.920000,-0.305085,0.934236,9.750421
