time,name,position,velocity,effort
0.750000,brazo1_link_joint,-0.605000,-0.100000,-1.122057
0.750000,brazo2_link_joint,0.000013,0.000002,-0.469388
0.750000,paloquebaja_link_joint,-0.062312,0.002467,39.296099
0.750000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.750000,pinza_d_link_joint,0.000025,0.000000,0.035765
0.750000,pinza_i_link_joint,0.000023,-0.000000,-0.031279
0.750000,w1_link_joint,-0.000000,-0.000000,0.650509
0.750000,w2_link_joint,-0.000000,0.000000,-2.229321
0.750000,w3_link_joint,-0.000000,0.000000,0.000000
0.750000,w4_link_joint,0.000000,0.000000,0.000000
0.750000,w5_link_joint,0.000000,0.000000,-3.330650
0.750000,w6_link_joint,-0.000000,-0.000000,0.000000
0.800000,brazo1_link_joint,-0.610000,-0.100000,-1.116247
0.800000,brazo2_link_joint,0.000013,0.000002,-0.466958
0.800000,paloquebaja_link_joint,-0.062189,0.002467,39.296099
0.800000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.800000,pinza_d_link_joint,0.000025,0.000000,0.035591
0.800000,pinza_i_link_joint,0.000023,-0.000000,-0.031106
0.800000,w1_link_joint,-0.000000,-0.000000,0.649662
0.800000,w2_link_joint,-0.000000,0.000000,-2.228872
0.800000,w3_link_joint,-0.000000,0.000000,0.000000
0.800000,w4_link_joint,0.000000,0.000000,0.000000
0.800000,w5_link_joint,0.000000,0.000000,-3.330488
0.800000,w6_link_joint,-0.000000,0.000000,0.000000
0.850000,brazo1_link_joint,-0.615000,-0.100000,-1.110408
0.850000,brazo2_link_joint,0.000013,0.000002,-0.464516
0.850000,paloquebaja_link_joint,-0.062065,0.002467,39.296099
0.850000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.850000,pinza_d_link_joint,0.000025,0.000000,0.035417
0.850000,pinza_i_link_joint,0.000023,-0.000000,-0.030931
0.850000,w1_link_joint,-0.000000,-0.000000,0.648811
0.850000,w2_link_joint,-0.000000,0.000000,-2.228426
0.850000,w3_link_joint,-0.000000,0.000000,0.000000
0.850000,w4_link_joint,0.000000,0.000000,0.000000
0.850000,w5_link_joint,0.000000,0.000000,-3.330320
0.850000,w6_link_joint,-0.000000,0.000000,0.000000
0.900000,brazo1_link_joint,-0.620000,-0.100000,-1.104542
0.900000,brazo2_link_joint,0.000013,0.000002,-0.462063
0.900000,paloquebaja_link_joint,-0.061942,0.002467,39.296099
0.900000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.900000,pinza_d_link_joint,0.000025,0.000000,0.035242
0.900000,pinza_i_link_joint,0.000023,-0.000000,-0.030756
0.900000,w1_link_joint,-0.000000,-0.000000,0.647956
0.900000,w2_link_joint,-0.000000,0.000000,-2.227984
0.900000,w3_link_joint,-0.000000,-0.000000,0.000000
0.900000,w4_link_joint,0.000000,-0.000000,0.000000
0.900000,w5_link_joint,0.000000,0.000000,-3.330146
0.900000,w6_link_joint,-0.000000,-0.000000,0.000000
0.950000,brazo1_link_joint,-0.625000,-0.100000,-1.098648
0.950000,brazo2_link_joint,0.000013,0.000002,-0.459598
0.950000,paloquebaja_link_joint,-0.061818,0.002467,39.296099
0.950000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.950000,pinza_d_link_joint,0.000025,0.000000,0.035065
