time,linear_x,angular_z
1.938455,-0.500000,0.000000
1.939050,-0.500000,0.000000
1.939652,-0.500000,0.000000
1.940250,-0.500000,0.000000
1.940848,-0.500000,0.000000
1.941515,-0.500000,0.000000
1.942103,-0.500000,0.000000
1.942640,-0.500000,0.000000
1.943295,-0.500000,0.000000
1.943918,-0.500000,0.000000
1.944450,-0.500000,0.000000
1.945106,-0.500000,0.000000
1.945664,-0.500000,0.000000
1.946262,-0.500000,0.000000
1.946856,-0.500000,0.000000
1.947501,-0.500000,0.000000
1.948093,-0.500000,0.000000
1.948659,-0.500000,0.000000
1.949301,-0.500000,0.000000
1.949917,-0.500000,0.000000
1.950502,-0.500000,0.000000
1.951116,-0.500000,0.000000
1.951662,-0.500000,0.000000
1.952265,-0.500000,0.000000
1.952901,-0.500000,0.000000
1.953492,-0.500000,0.000000
1.954149,-0.500000,0.000000
1.954698,-0.500000,0.000000
1.955318,-0.500000,0.000000
1.955903,-0.500000,0.000000
1.956598,-0.500000,0.000000
1.957116,-0.500000,0.000000
1.957655,-0.500000,0.000000
1.958251,-0.500000,0.000000
1.958843,-0.500000,0.000000
1.959464,-0.500000,0.000000
1.960042,-0.500000,0.000000
1.960668,-0.500000,0.000000
1.961278,-0.500000,0.000000
1.961848,-0.500000,0.000000
1.962493,-0.500000,0.000000
1.963082,-0.500000,0.000000
1.963635,-0.500000,0.000000
1.964262,-0.500000,0.000000
1.964857,-0.500000,0.000000
1.965481,-0.500000,0.000000
1.966050,-0.500000,0.000000
1.966644,-0.500000,0.000000
1.967283,-0.500000,0.000000
1.967853,-0.500000,0.000000
1.968469,-0.500000,0.000000
1.969102,-0.500000,0.000000
1.969637,-0.500000,0.000000
1.970283,-0.500000,0.000000
1.970865,-0.500000,0.000000
1.971481,-0.500000,0.000000
1.972050,-0.500000,0.000000
1.972652,-0.500000,0.000000
1.973249,-0.500000,0.000000
1.973849,-0.500000,0.000000
1.974508,-0.500000,0.000000
1.975097,-0.500000,0.000000
1.975635,-0.500000,0.000000
1.976267,-0.500000,0.000000
1.976856,-0.500000,0.000000
1.977524,-0.500000,0.000000
1.978116,-0.500000,0.000000
1.978654,-0.500000,0.000000
1.979250,-0.500000,0.000000
1.979841,-0.500000,0.000000
1.980546,-0.500000,0.000000
1.981113,-0.500000,0.000000
1.981657,-0.500000,0.000000
1.982315,-0.500000,0.000000
1.982893,-0.500000,0.000000
1.983535,-0.500000,0.000000
1.984074,-0.500000,0.000000
1.984653,-0.500000,0.000000
1.985255,-0.500000,0.000000
1.985846,-0.500000,0.000000
1.986420,-0.500000,0.000000
